,largeur mm,hauteur mm,longueur m,cubage,prix pièce,,prix m3 72mm,,fournisseur,Nom,Référence,Catégorie,Essence
LC,87,360,9,"0,28188","200,13 €",,710,,LCCO,87x360mm 9m Lamellés,L87X360/9m,LAMELLES,Lamellés
LC,87,360,10,"0,3132","222,37 €",,710,,LCCO,87x360mm 10m Lamellés,L87X360/10m,LAMELLES,Lamellés
LC,87,360,11,"0,34452","244,61 €",,710,,LCCO,87x360mm 11m Lamellés,L87X360/11m,LAMELLES,Lamellés
LC,87,360,12,"0,37584","266,85 €",,710,,LCCO,87x360mm 12m Lamellés,L87X360/12m,LAMELLES,Lamellés
LC,87,360,13,"0,40716","289,08 €",,710,,LCCO,87x360mm 13m Lamellés,L87X360/13m,LAMELLES,Lamellés
LC,87,405,2,"0,07047","50,03 €",,710,,LCCO,87x405mm 2m Lamellés,L87X405/2m,LAMELLES,Lamellés
LC,87,405,3,"0,105705","75,05 €",,710,,LCCO,87x405mm 3m Lamellés,L87X405/3m,LAMELLES,Lamellés
LC,87,405,4,"0,14094","100,07 €",,710,,LCCO,87x405mm 4m Lamellés,L87X405/4m,LAMELLES,Lamellés
LC,87,405,5,"0,176175","125,08 €",,710,,LCCO,87x405mm 5m Lamellés,L87X405/5m,LAMELLES,Lamellés
LC,87,405,6,"0,21141","150,10 €",,710,,LCCO,87x405mm 6m Lamellés,L87X405/6m,LAMELLES,Lamellés
LC,87,405,7,"0,246645","175,12 €",,710,,LCCO,87x405mm 7m Lamellés,L87X405/7m,LAMELLES,Lamellés
LC,87,405,8,"0,28188","200,13 €",,710,,LCCO,87x405mm 8m Lamellés,L87X405/8m,LAMELLES,Lamellés
LC,87,405,9,"0,317115","225,15 €",,710,,LCCO,87x405mm 9m Lamellés,L87X405/9m,LAMELLES,Lamellés
LC,87,405,10,"0,35235","250,17 €",,710,,LCCO,87x405mm 10m Lamellés,L87X405/10m,LAMELLES,Lamellés
LC,87,405,11,"0,387585","275,19 €",,710,,LCCO,87x405mm 11m Lamellés,L87X405/11m,LAMELLES,Lamellés
LC,87,405,12,"0,42282","300,20 €",,710,,LCCO,87x405mm 12m Lamellés,L87X405/12m,LAMELLES,Lamellés
LC,87,405,13,"0,458055","325,22 €",,710,,LCCO,87x405mm 13m Lamellés,L87X405/13m,LAMELLES,Lamellés
LC,87,450,2,"0,0783","55,59 €",,710,,LCCO,87x450mm 2m Lamellés,L87X450/2m,LAMELLES,Lamellés
LC,87,450,3,"0,11745","83,39 €",,710,,LCCO,87x450mm 3m Lamellés,L87X450/3m,LAMELLES,Lamellés
LC,87,450,4,"0,1566","111,19 €",,710,,LCCO,87x450mm 4m Lamellés,L87X450/4m,LAMELLES,Lamellés
LC,87,450,5,"0,19575","138,98 €",,710,,LCCO,87x450mm 5m Lamellés,L87X450/5m,LAMELLES,Lamellés
LC,87,450,6,"0,2349","166,78 €",,710,,LCCO,87x450mm 6m Lamellés,L87X450/6m,LAMELLES,Lamellés
